question,answer
what is harry potter's middle name?,harry's middle name is james.
who is harry potter's best friend?,harry's best friend is ron weasley.
what is the name of harry potter's owl?,harry's owl is named hedwig.
what is the spell for turning objects into birds?,the spell is called "avifors."
who is the author of the harry potter book series?,j.k. rowling is the author of the harry potter books.
what is the name of the magical school attended by harry potter?,the school is called hogwarts school of witchcraft and wizardry.
what is the name of the train station where the hogwarts express departs from?,the station is called platform nine and three-quarters.
what is the name of the defense against the dark arts teacher in harry's first year at hogwarts?,the teacher's name is professor quirinus quirrell.
what is the name of the three-headed dog guarding the trapdoor at hogwarts?,the dog's name is fluffy.
who is the half-giant gamekeeper at hogwarts?,the gamekeeper is rubeus hagrid.
what is the name of the house-elf who serves the malfoy family?,the house-elf's name is dobby.
what is the name of the weasley family's flying car?,the car is called the ford anglia.
what is the name of the pub in hogsmeade frequented by hogwarts students?,the pub is called the three broomsticks.
who is the editor of the daily prophet?,the editor is barnabas cuffe.
what is the name of the caretaker at hogwarts?,the caretaker is argus filch.
what is the name of the founder of slytherin house at hogwarts?,the founder's name is salazar slytherin.
who is the headmaster of hogwarts school of witchcraft and wizardry?,the headmaster is albus dumbledore.
what is the name of the forbidden forest near hogwarts?,the forest is called the forbidden forest.
what is the name of the house-elf who is loyal to the black family?,the house-elf's name is kreacher.
what is the name of the creature that guards the entrance to the chamber of secrets?,the creature is called a basilisk.
what is the name of the village near hogwarts?,the village is called hogsmeade.
what is the name of the family that harry potter stays with during the summer holidays?,the family is called the dursleys.
what is the name of the spell that harry uses to summon his broomstick?,the spell is called "accio."
who is the ghost that haunts the girls' bathroom at hogwarts?,the ghost's name is moaning myrtle.
what is the name of the weasley family's clock that shows the location of each family member?,the clock is called the weasley clock.
what is the name of the magical currency used in the wizarding world?,the currency is called galleons, sickles, and knuts.
what is the name of the magical map that shows the layout of hogwarts and the location of everyone in the castle?,the map is called the marauder's map.
what is the name of the weasley family's owl?,the owl is named errol.
what is the name of the house-elf who is freed by hermione granger?,the house-elf's name is winky.
what is the name of the village near hogwarts where students can go on weekends?,the village is called hogsmeade.
what is the name of the spell that creates a protective shield around the caster?,the spell is called "protego."
what is the name of the wizarding prison where dangerous criminals are kept?,the prison is called azkaban.
what is the name of the house-elf who works at hogwarts and helps in the kitchen during feasts?,the house-elf's name is dobby.
what is the name of the magical creature that resembles a small winged horse?,the creature is called a thestral.
who is the owner of the book "fantastic beasts and where to find them"?,the owner is newt scamander.
what is the name of the sport played on broomsticks at hogwarts?,the sport is called quidditch.
what is the name of the gamekeeper at hogwarts who has a fondness for dangerous creatures?,the gamekeeper is rubeus hagrid.
what is the name of the spell that produces light from the tip of the wand?,the spell is called "lumos."
what is the name of the potion that allows the drinker to transform into someone else for a short period of time?,the potion is called polyjuice potion.
what is the name of the village where harry potter was born and lived until he discovered he was a wizard?,the village is called little whinging.
who is the ghost that haunts the ravenclaw common room at hogwarts?,the ghost's name is the grey lady.
what is the name of the magical object that reveals hidden messages written with invisible ink?,the object is called the revealer.
what is the name of the spell that unlocks doors and windows?,the spell is called "alohomora."
what is the name of the magical plant that screams when it is pulled from the ground?,the plant is called a mandrake.
who is the house-elf who serves the malfoy family and helps them carry out their plans?,the house-elf's name is kreacher.
what is the name of the shop in diagon alley that sells magical pets?,the shop is called magical menagerie.
who is the defense against the dark arts teacher in harry's second year at hogwarts?,the teacher's name is professor gilderoy lockhart.
what is the name of the gamekeeper at hogwarts who is known for his love of dangerous creatures?,the gamekeeper is rubeus hagrid.
what is the name of the creature that harry potter rides during the first task of the triwizard tournament?,the creature is called a hungarian horntail.
what is the name of the weasley family's owl?,the owl is named pigwidgeon.
